label,softmax_score
11,0.6421682238578796
17,0.6525507569313049
24,0.5565786957740784
47,0.9938769936561584
36,0.9597070217132568
39,0.9527509212493896
16,0.975430965423584
39,0.94882732629776
17,0.6376208066940308
1,0.688457727432251
16,0.9842413067817688
40,0.9611688852310181
18,0.6922109127044678
48,0.9805088043212891
24,0.9260841012001038
13,0.67307448387146
29,0.6262601017951965
41,0.6249417662620544
3,0.9847442507743835
7,0.9420170187950134
63,0.9603667855262756
13,0.8154539465904236
44,0.9733729362487793
54,0.9584944248199463
59,0.9258927702903748
49,0.9745672345161438
36,0.9478965997695923
32,0.9772358536720276
10,0.9596686959266663
10,0.947765588760376
21,0.9760966897010803
63,0.9735186696052551
11,0.6280799508094788
21,0.9805388450622559
27,0.8410856127738953
52,0.9856095910072327
4,0.6825308799743652
46,0.86220782995224
14,0.9619439244270325
33,0.8327168226242065
22,0.9499455094337463
53,0.9544384479522705
42,0.9816572666168213
26,0.962313711643219
48,0.9175471663475037
28,0.9858600497245789
60,0.9232205152511597
63,0.9589937329292297
12,0.954589307308197
9,0.5868520140647888
43,0.963573157787323
63,0.9619012475013733
25,0.9484071135520935
13,0.7350989580154419
30,0.9283490777015686
15,0.8824084401130676
63,0.850156843662262
5,0.9547286629676819
44,0.9791284799575806
54,0.8867740035057068
32,0.9763275384902954
25,0.8958306908607483
10,0.9463896751403809
31,0.976352870464325
19,0.9726485013961792
44,0.9729481339454651
47,0.9855883717536926
40,0.9609283804893494
39,0.949266254901886
42,0.9686157703399658
20,0.9590492248535156
56,0.9754144549369812
56,0.976783275604248
18,0.7399196624755859
50,0.9631367325782776
54,0.9429895877838135
20,0.9581289887428284
59,0.934181272983551
8,0.9572491645812988
22,0.6530762910842896
41,0.6299618482589722
41,0.8089211583137512
31,0.9699291586875916
48,0.9779101610183716
15,0.855625331401825
40,0.9606157541275024
18,0.6886762380599976
56,0.973861038684845
43,0.960424542427063
63,0.9621566534042358
42,0.979867696762085
46,0.9628840088844299
40,0.9655570387840271
54,0.9408999681472778
10,0.9681562185287476
15,0.7852532863616943
18,0.753529965877533
25,0.9491897821426392
28,0.986504077911377
6,0.9506751298904419
6,0.9372390508651733
24,0.9177948236465454
16,0.9374004006385803
47,0.9888514876365662
1,0.6899451017379761
43,0.9583826065063477
48,0.97896808385849
23,0.9383150935173035
56,0.8979718685150146
48,0.9791355729103088
38,0.9123212695121765
7,0.9557898640632629
10,0.9210920333862305
44,0.9704227447509766
16,0.9640265107154846
47,0.9869231581687927
31,0.9423173666000366
32,0.9771248698234558
24,0.9377248287200928
22,0.5494692325592041
10,0.9625198841094971
34,0.9412108063697815
20,0.947669267654419
2,0.7212305068969727
30,0.948728621006012
58,0.750584065914154
22,0.7274303436279297
19,0.9814510941505432
57,0.971221923828125
63,0.9717025756835938
49,0.9725085496902466
0,0.7125105857849121
40,0.9471109509468079
59,0.7491512298583984
58,0.7737331390380859
39,0.9423614144325256
25,0.9682523012161255
10,0.96510910987854
50,0.948750376701355
26,0.9593307971954346
37,0.6867257952690125
16,0.9681629538536072
46,0.9647616147994995
1,0.6866355538368225
32,0.9743155241012573
49,0.9710206985473633
39,0.9516263604164124
60,0.9435825943946838
21,0.977974534034729
42,0.9827691912651062
41,0.6096177697181702
35,0.9771344065666199
62,0.9455931186676025
19,0.9807825684547424
59,0.8188925981521606
20,0.9571018218994141
22,0.8861857652664185
0,0.7579652070999146
60,0.9463393092155457
11,0.7861021757125854
4,0.5093613266944885
54,0.9691179990768433
46,0.9669891595840454
3,0.9823859930038452
16,0.968834400177002
49,0.9698959589004517
2,0.6507405042648315
